,"Järvien lukumäärä","Pinta-ala yhteensä"
"Pieni Ohenjärvi",1,13 ha
Välivesi,5,1 471 ha
Jorhonlampi,1,1 ha
Sokkajärvi,1,29 ha
Pulkkisenlampi,1,3 ha
Iso-Salanti,1,45 ha
"Alainen Herajärvi",1,98 ha
Linnunlampi,1,28 ha
Iso-Purnu,1,107 ha
Kolvikträsk,1,1 ha
Suuri-Muje,1,62 ha
Ikkerlompola,1,589 ha
Pieni-Moisio,1,5 ha
Nuutamolampi,1,19 ha
Pilttijärvi,2,9 ha
Tyyskänlampi,1,2 ha
Kaukkostenjärvi,1,8 ha
Korvenalustanjärvi,1,25 ha
Aakenusjärvi,1,165 ha
Venettijärvi,1,6 ha
Ala-Tiilikka,1,21 ha
"Pieni Murtolampi",1,1 ha
Kenttäseljänlampi,1,2 ha
Keski-Suolappa,1,17 ha
"Iso Sorvanlampi",1,7 ha
Matalinlampi,1,3 ha
Iso-Hera,1,135 ha
Pieni-Pyöräinen,2,5 ha
Poskijärvi,2,49 ha
Irdojavri,1,4 ha
Pimeänperänlammi,1,4 ha
Hilkunalampi,1,12 ha
Ketolampi,1,6 ha
Kuusenlampi,1,1 ha
Aksujävri,1,416 ha
Kuotmuttijärvi,2,18 ha
Sysmäjärvi,1,687 ha
Korvalampi,7,62 ha
Lehikonlampi,1,5 ha
Kaskilampi,4,32 ha
Huhtilammi,1,9 ha
"Ensimmäinen Pahakalanlampi",1,2 ha
Sihonen,1,4 ha
Ollampi,1,2 ha
Leskisenlampi,2,4 ha
"Pieni Kuokanlampi",1,2 ha
Mutasjärvi,1,12 ha
Vähä-Saarijärvi,1,1 ha
"Laihan Valkeinen",1,6 ha
Mollijärvi,2,8 ha
Orkonen,1,2 ha
Ylä-Sammalinen,1,10 ha
Mertanen,1,2 ha
Lunkinjärvi,1,116 ha
Penikkalampi,6,11 ha
Iso-Palonen,2,220 ha
Stråkfladan,1,11 ha
Koijerijärvi,1,31 ha
Kisoslampi,2,12 ha
Runtti,1,43 ha
Tukkeuslampi,1,1 ha
Tasajärvi,1,24 ha
"Pikku Kynsilampi",1,2 ha
Valkeavetinen,1,1 ha
Lohonjärvi,1,24 ha
Karvia,1,10 ha
Kelalampi,1,6 ha
Skogsböleträsket,1,30 ha
Pantiolampi,2,4 ha
Loukionlampi,1,18 ha
Suuksanlampi,1,11 ha
Imulampi,2,9 ha
"Iso Virkalampi",1,2 ha
Särmäjärvi,1,16 ha
Jaakonjärvi,4,330 ha
Tikki,1,1 ha
Koskuslammi,1,1 ha
Myhkyrinlampi,1,2 ha
Pikku-Ahveninen,1,5 ha
Palotupajärvi,1,2 ha
Rauvaslampi,1,14 ha
Riutusjärvi,1,16 ha
Särkilammi,10,29 ha
Kurikkalampi,7,53 ha
"Ylimmäinen Aittojärvi",1,57 ha
Hossus,1,4 ha
Ala-Hyyvikäs,1,9 ha
Perilänjärvi,1,65 ha
Pääččemkueˊttjäuˊrr,1,56 ha
Avdsegasjavri,1,12 ha
Märsynjärvi,1,8 ha
Rekijärvsjön,1,177 ha
Heinuanjärvi,1,43 ha
Olkkajärvi,1,1 457 ha
Keilumännikönlampi,1,2 ha
Uppolammi,1,3 ha
Iso-Hyyhynen,1,15 ha
Joutsenlammi,2,11 ha
Huosianlampi,1,1 ha
Vanginlampi,1,21 ha
Pikku-Leveä,1,8 ha
"Ylä Kalkujärvi",1,11 ha
Liistelampi,3,13 ha
Vatijärvi,2,11 ha
Polvi-Valkiainen,1,4 ha
Nikulanlahti,1,2 ha
Aikalanjärvi,1,9 ha
Ivnnatjávri,1,24 ha
Kuristinlampi,1,2 ha
Merenlampi,4,23 ha
Leivo,1,35 ha
"Pieni Hautalampi",1,1 ha
Jounaanlampi,1,8 ha
Niikkulanlampi,1,1 ha
Oiseronlampi,1,1 ha
Palmunlammi,1,2 ha
Ruunalammit,1,2 ha
Tilsanlampi,1,4 ha
Vaaranaluslampi,7,20 ha
"Ylimmäinen Pirinlampi",1,22 ha
"Pieni Hangaslampi",4,14 ha
Ala-Hippa,1,237 ha
Suksijärvi,1,56 ha
Tervalampi,132,619 ha
Litulampi,1,12 ha
Suontajanlampi,1,10 ha
Kulppi,1,2 ha
Lastujärvi,2,242 ha
Kuikkanen,2,6 ha
"Alainen Suonijärvi",1,10 ha
"Iso Kaatralampi",1,3 ha
Kyynämöinen,1,515 ha
Soikulalampi,2,4 ha
Viipurinlampi,1,1 ha
Levisträsket,1,2 ha
Skiihpajavri,1,46 ha
Nallajärvi,2,20 ha
Suolisjärvi,3,1 965 ha
Tuomisto,1,16 ha
Osmojärvi,1,8 ha
Pitkuslampi,1,6 ha
Huiveronlampi,2,6 ha
Koleskajärvi,1,4 ha
Pieni-Kuorikka,1,11 ha
"Pieni Tipasjärvi",1,1 097 ha
Rahaseljänlampi,1,20 ha
Soilampi,8,40 ha
Sikonen,1,3 ha
Löytölänlampi,2,23 ha
Munalampi,5,93 ha
Syvä-Rekule,1,18 ha
Saanjärvi,1,201 ha
Kelveneenlampi,1,1 ha
Kylylampi,2,8 ha
Vajulampi,1,2 ha
Juurenlampi,1,25 ha
Päivänvasta,1,2 ha
Kirjasjärvi,2,104 ha
Rajalammi,7,17 ha
"Suuri Varislampi",1,3 ha
"Alinen Laisjärvi",1,2 ha
Kivi-Piskamo,1,16 ha
Äytsijärvi,1,3 ha
Saavanlampi,2,41 ha
Mustinjärvi,2,33 ha
"Iso Ruoholampi",1,7 ha
Tiirilampi,1,7 ha
Ehojärvi,1,3 ha
Tymäkkäjärvi,1,4 ha
