,"Järvien lukumäärä","Pinta-ala yhteensä"
Ylä-Sieksijärvi,1,22 ha
Härkjärvi,1,13 ha
Akanalampi,1,1 ha
"Pieni Harrijärvi",1,62 ha
Kirrinen,1,34 ha
Nöyleppilampi,1,19 ha
Venäjänjärvi,2,213 ha
"Pieni Avusjärvi",1,2 ha
"Pikku Kivijärvi",6,35 ha
Tammukkajärvi,5,37 ha
Mutkanlampi,1,2 ha
"Ylinen Sieppijärvi",1,205 ha
Fielmassaivo,1,2 ha
Putikka,1,1 ha
Emälampi,1,12 ha
Pieni-Rapakkojärvi,1,4 ha
Sulahaaranlampi,1,1 ha
Leipäjärvi,1,2 ha
Iso-Somero,1,8 ha
Vasalampi,8,53 ha
Lamminpäänlammi,3,19 ha
Puukkoislammi,1,3 ha
Jylynjärvi,1,27 ha
Hankilampi,2,11 ha
"Vähä Kokevesi",1,5 ha
Karannuslampi,1,14 ha
Kipponen,1,31 ha
"Pikku Murtojärvi",1,2 ha
Tarsianjärvi,1,53 ha
Hannojavri,1,4 ha
Savonlampi,3,27 ha
Sintsi,1,6 ha
Kukkuralampi,2,6 ha
Iso-Koukeri,1,13 ha
Vilpusjärvi,1,215 ha
Seljänalanen,1,260 ha
Kanalammi,1,14 ha
Pyhikki,1,37 ha
Härkönen,1,1 ha
Kahilalompolo,1,1 ha
"Pieni Pantalampi",1,1 ha
Juliseva,1,1 ha
Etäselkä,1,38 ha
Vuori-Kalaja,1,8 ha
Miehikkö,1,46 ha
"Pikku Kertosjärvi",1,4 ha
"Pieni Luomajärvi",1,3 ha
"Keskinen Vuorisjärvi",1,3 ha
Pentjärvi,1,19 ha
Laihanen,2,5 ha
Pirttilampi,66,489 ha
"Pieni Haaralampi",1,2 ha
Suostunjärvi,1,197 ha
Pakanajärvi,1,26 ha
Vanhamaalammi,1,2 ha
Tronsböleträsket,1,2 ha
Iso-Kurkko,1,9 ha
"Iso Kantolampi",1,2 ha
Lohvanjärvi,1,115 ha
Sertinlampi,1,8 ha
Kämärä,1,45 ha
Vaahtovanlampi,1,6 ha
Särkkä-Äylä,1,19 ha
"Iso Mulkkulammi",1,1 ha
Voilammi,1,1 ha
Kouerjärvi,1,116 ha
Kolima,1,10 108 ha
"Ylinen Rautjärvi",1,36 ha
Lapinkotkalampi,1,4 ha
Kuohunsuonlammi,1,1 ha
Teponlampi,2,27 ha
Jairiipi,1,1 ha
Köykenölampi,2,10 ha
"Suuri Luhtalampi",1,20 ha
Kirakanjärvi,1,51 ha
Tuhkuri,4,30 ha
Vekarainen,2,10 ha
Puukonlampi,1,2 ha
Ryöti,1,12 ha
Ylä-Kaatlampi,1,6 ha
Isonniitynlampi,1,6 ha
Harjulammi,1,1 ha
Nurronjärvi,2,35 ha
"Itäinen Näätäjärvi",1,2 ha
Putikkalampi,1,9 ha
"Stuora Ritabuolžajávri",1,8 ha
Karjalanjärvi,2,220 ha
Kurenjärvi,1,23 ha
Turunlampi,1,5 ha
Puollamluobbalak,1,17 ha
Korpilammi,4,19 ha
Yläjoenlammi,1,1 ha
Kaitajärvi,55,1 294 ha
"Iso Somerojärvi",1,88 ha
Kivitarpoma,1,1 ha
Kaukalampi,1,11 ha
Ala-Mustalampi,3,9 ha
"Iso Valkealampi",2,76 ha
Ormträsket,1,2 ha
Hiihtari,1,41 ha
"Pieni Konttilanlampi",1,1 ha
Syvänlampi,2,20 ha
Roskurfjärden,1,4 ha
Ruokovaaranlampi,1,6 ha
Urvantojärvi,1,3 ha
Saijanjärvi,1,5 ha
"Pieni Verkkolampi",1,1 ha
Majamajärvi,1,278 ha
Uskaljärvi,1,163 ha
"Pikku Roskajärvi",1,25 ha
Ylä-Raatinen,1,63 ha
Järvistenlampi,1,6 ha
Peäivv-Andarasjavri,1,28 ha
Kinastinlampi,1,11 ha
Nielulammi,1,8 ha
Hitjuksenjärvi,1,65 ha
Nuasjärvi,2,10 034 ha
Karstavanlampi,1,2 ha
"Keskimmäinen Kuivaslampi",1,12 ha
Kaitamojärvi,1,208 ha
Valkerpyy,1,393 ha
Mustaksenlampi,2,10 ha
"Ylinen Kienajajärvi",1,12 ha
Iso-Koriseva,1,9 ha
Vaskenjärvi,1,26 ha
Livolampi,1,14 ha
Pataässäjärvi,1,2 ha
Iso-Kiimanen,1,3 079 ha
"Ylimmäinen Turunlampi",1,19 ha
Luttolompolo,1,12 ha
Tredjeträsk,1,1 ha
Kakkarskaavrads,1,5 ha
Säynjärvi,1,206 ha
"Ruohin Musta",1,2 ha
Kaustalammi,1,3 ha
Tohiskonlampi,1,7 ha
Vaaranpääjärvi,1,3 ha
"Pitkä Huosiolampi",1,3 ha
Uuhijärvi,2,57 ha
Tasmanlampi,1,5 ha
Tuorpumajärvi,1,37 ha
Vatsianjärvi,1,8 ha
Taivalalainen,1,46 ha
Sarkanen,5,138 ha
Vehnänen,1,4 ha
Leinolanlampi,1,5 ha
Vuopajanperänlampi,1,2 ha
"Pieni Kivasjärvi",1,5 ha
Saarikko,1,8 ha
Lehlampi,1,3 ha
Piiroolampi,1,5 ha
Kiviniemenlampi,1,2 ha
Ellimuorinjärvi,1,4 ha
Kaartlampi,1,4 ha
Irralompolo,1,11 ha
Leheejärvi,1,104 ha
Varkautjärvi,1,4 ha
Lökgrundsgropen,1,2 ha
"Alimmainen Kortelampi",1,1 ha
Huhdasjärvi,1,107 ha
Kalattomanlammi,2,10 ha
Koldonträsk,1,2 ha
Soukkariipi,1,6 ha
Akolampi,1,14 ha
Lahnalammi,9,53 ha
Pirttilammit,1,7 ha
Haikonlampi,1,4 ha
Nuorronjärvi,1,18 ha
Vilpuslampi,1,11 ha
Ympyriäinenlampi,1,3 ha
"Ylimmäinen Lauttajärvi",1,26 ha
Levälammi,1,3 ha
Killinpoikainjärvi,2,12 ha
Vuohilampi,4,13 ha
Karhunleikkolampi,1,5 ha
Siukkujärvi,1,40 ha
"Pikku Elehväjärvi",1,18 ha
Kelkkälampi,1,4 ha
Piispajärvi,1,1 288 ha
Parkulampi,1,40 ha
"Pieni Vehmasjärvi",1,1 ha
Kuuponlampi,1,12 ha
"Pieni Parvajärvi",2,106 ha
Vääräkarsikko,1,2 ha
Majalampi,18,106 ha
Jalaanjärvi,1,34 ha
Laasojärvi,1,66 ha
Kirintöjärvi,1,315 ha
Iso-Mulkkunen,1,5 ha
Degerträsk,1,31 ha
Riisolampi,1,10 ha
Alemmainen,2,46 ha
Askanjärvi,1,148 ha
Haukia,1,4 ha
"Vähä Suojärvi",2,47 ha
Kiertusjärvenlompola,1,9 ha
Rekkorilampi,1,1 ha
"Piera-Uulan Kotasijajärvi",1,2 ha
Kirveslampi,30,116 ha
"Alinen Suomilammi",1,6 ha
Kupperoisenlampi,2,8 ha
Käräjärvi,1,34 ha
"Lilla Abborvattnet",1,2 ha
"Iso Suolampi",6,33 ha
Niittulahti,1,19 ha
"Pieni Yijäkkö",1,4 ha
Kockelträsket,1,6 ha
Kallinlampi,1,7 ha
Likasenlammi,1,5 ha
Rasilampi,11,27 ha
Pimijärvi,2,47 ha
Teurulampi,1,8 ha
"Pieni Oinasjärvi",1,8 ha
Ruutananlampi,2,9 ha
Mulkonen,1,1 ha
Paurunlampi,1,1 ha
Meruenlammi,1,3 ha
Pieni-Hoikka,3,34 ha
Kaatronen,1,3 ha
Tarsalanjärvi,1,61 ha
Hävittömänlampi,1,1 ha
Purasjärvi,2,460 ha
Uuralaisenlampi,1,2 ha
Reikäjärvi,1,1 ha
Ulppaanlampi,1,4 ha
Kiikkara,1,6 ha
Pieni-Pärnänen,1,3 ha
Lappomträsket,1,109 ha
Iso-Outo,1,60 ha
"Iso Ratijärvi",1,7 ha
Matkalampi,29,1 873 ha
Strömkastet,1,5 ha
Huoseuslampi,1,10 ha
Sorsavesi,1,5 498 ha
Lupukkalampi,1,3 ha
Kohisevanlampi,5,16 ha
Nomalikkojärvi,1,23 ha
Kantele,1,10 ha
Mökköslampi,1,4 ha
Soitukka,1,47 ha
Suvasvesi,1,23 358 ha
Vehkari,1,5 ha
"Suuri Vinkkislampi",1,5 ha
"Iso Palolampi",3,27 ha
Kirjava,2,3 ha
Ylinenlammi,1,1 ha
Sakara,2,238 ha
Sillanpäänlahti,1,5 ha
Karhukuusikonlampi,1,1 ha
Havgajavri,4,108 ha
Marja-Ruoke,1,8 ha
Kurjolampi,1,13 ha
Sammallammi,3,8 ha
Köyhänlampi,1,1 ha
Jyrkänlampi,2,13 ha
Kakarilampi,1,2 ha
"Iso Sieralampi",1,10 ha
Käsmänjärvi,1,20 ha
Asikonmeri,1,8 ha
Mullikonlampi,1,4 ha
Hieta-Kiekki,1,66 ha
Jauholammi,1,5 ha
Jyhmysjärvi,1,8 ha
"Pieni Hanslampi",1,2 ha
Elättijärvi,1,12 ha
Iso-Korttehinen,1,4 ha
Huso,1,6 ha
Iso-Paasonen,1,53 ha
Kiekeröriivi,1,1 ha
Abborrträsk,1,2 ha
Kantoluoma,1,7 ha
Peiponlampi,1,4 ha
Sattajärvi,2,170 ha
Tuorijärvi,1,2 ha
Kotasenjärvi,2,3 ha
Maintainen,1,29 ha
Mäki-Hoikka,1,7 ha
Pierkkulommol,1,7 ha
Sopenjärvi,6,137 ha
Toristojanlampi,1,5 ha
"Iso Riutaslampi",1,4 ha
Ruunaanjärvi,1,1 243 ha
Kärkkäälänjärvi,1,7 ha
Tiirikanlampi,1,2 ha
Laulajajärvi,1,10 ha
Pirtti-Valama,1,45 ha
Polvilammi,1,1 ha
Ala-Ryösiö,1,13 ha
Laiskavesi,1,3 ha
"Kyrkösjärven tekojärvi",1,591 ha
Jaakoppijärvi,1,16 ha
Louhenjärvi,1,21 ha
Savonkaita,1,179 ha
Kovasinjärvi,1,3 ha
Iso-Petäinen,8,265 ha
Raja-Valkeislampi,1,6 ha
Ala-Keltalammi,1,3 ha
Iso-Paskalampi,1,4 ha
Remujärvi,1,1 ha
Kuperkeikkajärvi,1,19 ha
Alalompola,2,43 ha
"Ylimmäinen Posiolampi",1,66 ha
Bockgrundsfladan,1,3 ha
Suddesjavri,1,4 ha
Annikkalampi,1,3 ha
Puhakkajärvi,1,26 ha
Kuorikkajärvi,1,15 ha
Kesola,1,25 ha
Jäkäläharjunlampi,1,2 ha
Vähä-Heinonen,1,16 ha
Suoverlampi,1,6 ha
Ylä-Sammaljärvi,2,180 ha
Sutinlampi,1,2 ha
Porstualampi,1,1 ha
"Pikku Aimojärvi",1,6 ha
Skallovarladdok,1,1 ha
"Itäinen Palokotajärvi",1,25 ha
Pyylampi,14,138 ha
"Suuri Sarkajärvi",1,12 ha
Pyyrlampi,1,5 ha
Perävaaranriipi,1,3 ha
Varrenvesi,1,9 ha
Valkeinen,112,2 458 ha
Tsoalmmajavri,1,165 ha
"Pikku Miesvesi",1,9 ha
Suottalampi,3,16 ha
Silmäpuoliahvenjärvi,1,2 ha
Löpönlampi,1,35 ha
Karjalanlampi,4,17 ha
Peuralampi,46,287 ha
Latvanjärvi,1,138 ha
Hepokkaanjärvi,1,77 ha
Jouhtilampi,2,4 ha
Vitelijärvi,2,11 ha
"Alimmainen Sorvalampi",1,6 ha
Haltiojärvi,1,7 ha
Passunjärvi,1,3 ha
Yli-Väärä,1,3 ha
Valkki,1,11 ha
Kolmisopenlampi,11,52 ha
"Lilla Särs",1,6 ha
Palsijärvi,1,9 ha
Kapperajärvi,1,61 ha
Härkönlampi,1,1 ha
Ruoninjärvi,1,3 ha
Miinanlampi,1,1 ha
Vähä-Pintalammi,1,1 ha
"Pieni Viljärvi",1,6 ha
Pärnäsenlampi,1,3 ha
Airilompolo,1,30 ha
Ala-Rokko,1,16 ha
Hiiretynjärvi,1,44 ha
Pieni-Jouhteno,1,1 ha
Lanjärvi,1,3 ha
"Vuolib Savdsaluobbal",1,45 ha
Säyneenjärvi,1,4 ha
Kilvenaavanlampi,1,34 ha
Kivesjärvi,1,2 574 ha
Laakkeenjärvi,1,26 ha
Livojärvi,1,3 296 ha
Löytäneenlampi,1,6 ha
"Alimmainen Martinluoma",1,43 ha
"Pikku Rastilampi",1,2 ha
"Stora Emassjön",1,87 ha
"Alinen Kuusijärvi",1,5 ha
Keski-Pussinen,1,1 ha
Iso-Kovalainen,1,9 ha
Kaimalolampi,1,2 ha
Näärinki,1,2 ha
Laitiolampi,1,1 ha
"Ylimmäinen Liinastenlampi",1,14 ha
"Pieni Päiväjärvi",1,3 ha
Keski-Musta,1,2 ha
Nissinlampi,2,50 ha
Posolampi,1,35 ha
Kaisonlampi,1,4 ha
"Harjun Pitkäjärvi",1,7 ha
Korkvattnet,1,2 ha
Kevätön,1,370 ha
"Stora Abborvattnet",1,5 ha
Kynsikäs,1,8 ha
"Pikku Vihtajärvi",1,35 ha
Pielislampi,1,2 ha
Hakolahti,1,16 ha
Tahvinlampi,2,32 ha
"Vuolimus Rievssakjavri",1,34 ha
Kielijärvi,3,241 ha
Tiellistenjärvi,1,5 ha
"Västra träsket",1,2 ha
Kokkusa,1,10 ha
Seälsejavri,1,81 ha
Housulammi,6,29 ha
Äntvattnet,2,8 ha
Ruokonen,11,360 ha
Sovijärvi,1,87 ha
Huotralampi,1,12 ha
"Suuri Tiemasjärvi",1,92 ha
Sierkisjärvi,1,33 ha
Nuottimajärvi,1,7 ha
Ellanjärvi,1,28 ha
Mökkilänjärvi,1,2 ha
Kuppi,1,3 ha
Sukeri,1,70 ha
Iso-Poikimo,1,42 ha
Alttolompola,1,5 ha
Kiverälampi,1,2 ha
Miksjärvi,1,2 ha
Djuphålsbottnarna,1,2 ha
"Ylimmäinen Hirvilampi",1,7 ha
"Ylinen Ahvenlampi",1,5 ha
Kunnuslampi,1,1 ha
Suuri-Jonsa,1,44 ha
Keinolampi,2,10 ha
Arrajärvi,1,991 ha
Alilampi,1,4 ha
Etelä-Tervajärvi,1,60 ha
"Syvä Särkijärvi",1,19 ha
Portimojärvi,3,795 ha
Ylä-Vepsä,1,12 ha
Väynäjärvi,1,48 ha
Lampinen,5,16 ha
Lallinlahti,1,2 ha
Raasinjärvi,1,29 ha
"Iso Aimojärvi",1,31 ha
Olkanlampi,1,3 ha
Lökträsket,1,1 ha
Iso-Pyöriä,1,3 ha
Suuri-Neva,1,8 ha
"Iso Kortejärvi",3,243 ha
"Västra Kyrksundet",1,255 ha
Sikrenlampi,1,2 ha
"Keskimmäinen Kangaslampi",1,3 ha
Tärkkämö,1,126 ha
Kaluna-aavanlampi,1,6 ha
Kaatiinlampi,1,20 ha
Likosenlampi,1,2 ha
"Keskimmäinen Vähäjärvi",1,2 ha
Puolankajärvi,1,299 ha
Kymmensylinen,1,198 ha
Ulmakkolampi,1,10 ha
Putikkolampi,1,2 ha
Rahanen,2,20 ha
"Iso Lehmilampi",3,62 ha
"Pitkä Surnujärvi",1,69 ha
Luhtalompolo,1,3 ha
Leppilampi,15,102 ha
Keski-Kero,1,2 092 ha
Vaijoenlampi,1,5 ha
Kalliolammi,4,8 ha
Kaktsajärvi,2,17 ha
Ala-Koskuslampi,1,3 ha
Mäkränlampi,3,4 ha
Pylsynlampi,1,2 ha
Määtänlampi,3,25 ha
Pahalammi,17,25 ha
Kivivaaranlampi,1,2 ha
Luikujärvi,1,155 ha
"Keskimmäinen Kontioluoma",1,28 ha
Pittiölampi,1,7 ha
"Vesuskankaan Valkeainen",1,1 ha
"Pikku Kuuleajärvi",1,7 ha
Heratus,1,7 ha
Ätäskö,1,1 389 ha
Kantapäälampi,1,2 ha
"Suuri Hanhilampi",1,7 ha
Keltunlampi,2,11 ha
"Yläinen Neulajärvi",1,2 ha
"Vähä Vehkajärvi",2,39 ha
Hopialampi,5,16 ha
Umpi-Valkeainen,1,26 ha
Kontinpaistamajärvi,1,20 ha
Ounionjärvi,1,176 ha
Kahilainen,1,4 ha
Isolampore,1,7 ha
Mouhijärvi,1,687 ha
Niuskalampi,1,3 ha
Hoikkalammit,1,4 ha
Öllykäinen,1,3 ha
Harjunalasenlammi,1,5 ha
Vehmanen,1,16 ha
Välipakanlahti,1,8 ha
Väistänlampi,1,11 ha
Kuivaus-Kivijärvi,1,14 ha
Nikala,1,6 ha
Lampuodinlammi,1,4 ha
Sitkain,1,9 ha
Keljonjärvi,2,183 ha
Nisäjärvi,1,99 ha
"Suuri Verkkojärvi",1,14 ha
Valkonen,4,18 ha
Paavonlampi,7,86 ha
Säkkilampi,4,20 ha
"Alimmainen Uusijärvi",1,7 ha
Rokamolampi,1,12 ha
Painasjärvi,1,19 ha
Matveijavrras,1,21 ha
Vargsundet,1,105 ha
"Nuorttimuuŝ Kappeerjävri",1,63 ha
"Pitkä Nälkälampi",1,2 ha
Lullinjärvi,1,4 ha
Paanasenlampi,1,1 ha
Salakkajärvi,1,10 ha
Jonkeri,1,1 398 ha
Hyyrynlampi,1,8 ha
Sevettijärvi,1,1 790 ha
Orislampi,1,3 ha
Kautiainen,1,3 ha
Toiviainen,1,5 ha
"Pyöreä Porolammi",1,6 ha
Tsiikonlampi,1,17 ha
Vähjärvi,1,13 ha
Ruoptujärvi,1,169 ha
Pieni-Virolainen,1,3 ha
"Pikku Hammonjärvi",1,1 ha
Makeintaustanjärvi,1,12 ha
Lihavalampi,2,7 ha
Kuivuulampi,1,3 ha
Rautaperäjärvi,1,391 ha
Launiasjärvi,1,5 ha
Niemistenpitkä,1,30 ha
Rousamonjärvi,1,72 ha
"Vähä Mäyriänjärvi",1,2 ha
Perälammi,5,28 ha
Palusjärvi,1,512 ha
Päijänteenlammi,1,2 ha
Hietakarinlampi,1,9 ha
Männikköselänlampi,1,7 ha
Aarnejärvi,1,46 ha
"Pieni Jalasjärvi",1,16 ha
Ruotsinlammi,1,1 ha
Aarlammi,1,5 ha
Pieni-Kalliojärvi,3,12 ha
Suomajärvi,2,7 ha
"Borgboda träsk",1,10 ha
Kommerinjärvi,1,14 ha
Purtilolampi,3,9 ha
Vikajärvi,1,641 ha
Virsulampi,4,28 ha
Yläisjärvi,1,20 ha
Iso-Piisku,1,17 ha
Haara-Musti,1,4 ha
"Iso Vasaluoma",1,42 ha
Knipesträsk,1,3 ha
Mooseksenlampi,1,3 ha
Katisko-Saarijärvi,1,164 ha
Mykyri,1,2 ha
Vesmajärvi,1,141 ha
Kontosjärvi,1,139 ha
"Ylinen Penijärvi",1,3 ha
Hindrabölsträsket,1,6 ha
Piltunginjärvi,1,268 ha
Vuononperälampi,1,2 ha
Pajulanjärvi,1,685 ha
Kanalampi,8,25 ha
Vehkakorvenlampi,1,2 ha
Laurinlampi,8,52 ha
Pekalampi,1,10 ha
Emäpaju,1,109 ha
"Iso Hirvaslampi",1,42 ha
Nälkölampi,1,10 ha
Vuodasluobal,1,120 ha
Mörholmsflagan,1,4 ha
Keskimmäinen-Elämäinen,1,3 ha
Asumalampi,2,16 ha
Poslampi,1,1 ha
Puhakanpuronlampi,1,1 ha
Kainalolampi,1,3 ha
"Pieni Hongistonjärvi",1,34 ha
Kumpulammi,1,1 ha
Putkonlampi,1,12 ha
Mikonlampi,6,27 ha
Roukojärvi,1,39 ha
Oravalammi,1,1 ha
Hakkajärvi,1,10 ha
"Udsen Laddojavri",1,2 ha
Kumpujärvi,2,18 ha
Vuomenjärvi,1,9 ha
"Keski Kinturi",1,5 ha
Piukonlampi,1,2 ha
Hökösenjärvi,1,55 ha
Kiiskilampi,10,89 ha
"Syvä Harrijärvi",1,14 ha
Globbet,1,2 ha
Koirilammi,2,4 ha
Valkosenlampi,1,32 ha
Pierulampi,2,4 ha
"Suuri Rasilampi",1,1 ha
Maikkolampi,1,3 ha
Kolmikouranen,1,4 ha
Osalammi,1,5 ha
Koverolampi,1,7 ha
Ahkiolampi,1,6 ha
Rauhnalampi,1,2 ha
"Iso Sarvisuvanto",1,31 ha
Lampijärvi,1,13 ha
"Iso Näätäjärvi",1,6 ha
Käkistenjärvi,1,9 ha
Päällinen,2,12 ha
Iso-Ahvenenainen,1,4 ha
Vahterjärvi,1,4 ha
Jousijärvi,2,27 ha
Iso-Vuorinen,2,15 ha
Kivekäslampi,1,1 ha
"Iso Lautalampi",2,7 ha
Läddinjååuråds,1,2 ha
Liivasenlampi,2,30 ha
"Iso Petrunlampi",1,3 ha
Leppilammi,1,16 ha
Hartunlampi,1,4 ha
Liolampi,1,30 ha
Hanislampi,2,7 ha
Vuopajajärvi,3,629 ha
Luotosenlampi,1,22 ha
Alinen-Kihlua,1,6 ha
"Pieni Kuohulampi",1,2 ha
"Pajib Arbejavri",1,19 ha
Okkula,1,4 ha
"Pikku Laitajärvi",1,11 ha
Raijanjärvi,1,3 ha
Enanlampi,1,5 ha
Hevosenkenkälampi,1,6 ha
Ala-Veitsilampi,1,4 ha
Alanne,4,102 ha
Hyötlampi,1,1 ha
Kousanlampi,1,38 ha
Laamasti,1,22 ha
Ampiaislampi,2,9 ha
Iso-Kiilo,1,1 ha
Valkeinenjärvi,1,2 ha
Korteslampi,4,8 ha
Jorma,1,4 ha
Vaittausjärvi,1,30 ha
Kaustaranjärvi,1,7 ha
Hairahtamajärvi,1,9 ha
Matka-aavanlampi,1,1 ha
"Iso Ruokolampi",1,2 ha
Leino,1,8 ha
Rumpujärvi,1,3 ha
Vähä-Piilemä,1,6 ha
Kahtolampi,1,2 ha
Heranen,2,79 ha
Poikkilampi,4,10 ha
Sommaröträsket,1,8 ha
Kauriaisenlampi,1,10 ha
Piiroislampi,1,1 ha
Puntisjaavrads,1,9 ha
Sarlampi,1,2 ha
"Iso Sakalammi",1,12 ha
Antaraslampi,1,21 ha
Kalattomanlampi,4,14 ha
"Keskimmäinen Neitilampi",1,3 ha
Kitkanen,1,2 ha
Pälpäjärvi,1,17 ha
Höyhtönen,1,2 ha
Petarträsk,1,2 ha
Kangasjärvi,38,3 372 ha
Ulkuselkäjärvi,2,13 ha
Taunonlampi,1,0 ha
Paulajärvi,2,8 ha
Pakajärvi,1,41 ha
Koskanjavri,1,532 ha
Iso-Säynäinen,2,65 ha
Leväperänlampi,1,2 ha
Palvilampi,1,1 ha
Hallajärvi,1,17 ha
Hakosjärvi,2,18 ha
Gennarbyviken,1,1 077 ha
Niemojärvi,1,6 ha
Salmi-Valkeinen,1,21 ha
Kaksemajärvi,1,54 ha
Pikku-Kurppa,1,3 ha
Piikkijärvi,1,68 ha
Ylä-Törisevä,1,2 ha
Vähä-Haukijärvi,1,5 ha
Raittilanlampi,1,3 ha
Seitsenoikianlampi,1,17 ha
Lavasjärvi,1,85 ha
Ristisenjärvi,1,30 ha
Uulantupajärvi,1,46 ha
"Suuri Kaitalampi",1,2 ha
Pakteluobbal,1,1 ha
"Iso Hepolampi",3,12 ha
Tsievttsajavri,1,65 ha
"Yläinen Miesperä",1,3 ha
"Pitkä Koivujärvi",1,5 ha
Kuuliais-Naurua,1,5 ha
Kylänlampi,2,4 ha
Hypäs,1,61 ha
Kauhanlampi,1,5 ha
Puukkolammi,1,2 ha
Alvojärvi,1,23 ha
Saininlampi,1,11 ha
Tierbmesjavri,1,324 ha
Riitasenjärvi,1,613 ha
Palpalenlampi,1,2 ha
Vähä-Vuotava,1,2 ha
"Iso Koiralampi",7,36 ha
Iso-Nilakka,1,3 ha
Tuppilammi,1,1 ha
"Pikku Revonlampi",1,3 ha
Hittolampi,1,2 ha
Rauramonlampi,1,6 ha
Ylä-Aitolampi,1,4 ha
Keski-Hatikainen,1,17 ha
Södergloet,1,14 ha
Laanjärvi,2,28 ha
Limmonaavanlampi,1,4 ha
Pikku-Parkko,1,1 ha
Myllynlampi,1,8 ha
Rieppolampi,1,1 ha
Tiiläänjärvi,1,213 ha
Kitarinjärvi,1,63 ha
Varpanen,4,169 ha
Pikku-Purnu,1,107 ha
Ylä-Enonvesi,1,1 186 ha
Kaupunginlampi,1,9 ha
Saitsijärvi,2,13 ha
"Pieni Valkealampi",6,16 ha
Hartola,1,3 ha
Nivuslammi,1,15 ha
Valkoinenlampi,4,12 ha
Pikku-Oudonjärvi,1,3 ha
Saparoinen,1,28 ha
Kierlampi,1,12 ha
Koiralampi,79,282 ha
Rihtojavri,1,8 ha
Sikamäenjärvi,1,2 ha
Vasarainen,4,181 ha
Gloörskärret,1,1 ha
Mustoslampi,3,19 ha
Pieni-Kuikka,1,1 ha
Vehka-Patamo,1,13 ha
Pöksynhaara,1,3 ha
Lananjärvi,1,25 ha
Rysäppä,1,36 ha
Kovaslammi,1,2 ha
Muhonlampi,1,6 ha
Ähtärinjärvi,1,3 988 ha
"Pieni Miesjärvi",1,11 ha
Ylä-Koivenlampi,1,16 ha
"Kokkusan Teeno",1,2 ha
Maarjärvi,1,46 ha
Aittojärvi,12,1 769 ha
Tytylampi,1,2 ha
Tyhjäjärvi,1,3 ha
Tuulilampi,2,37 ha
Pekkolampi,1,16 ha
Veitikanlampi,1,2 ha
"Iso Kalliojärvi",7,159 ha
Soimajärvi,1,4 ha
Raimalampi,1,2 ha
Peuranampumajärvi,3,38 ha
Maaselänlampi,3,13 ha
Kolmasjärvi,1,12 ha
Kuusvesi,1,2 213 ha
Äijänantaja,1,2 ha
Rokalampi,1,1 ha
Someenjärvi,1,96 ha
Linnajärvi,6,250 ha
Karklampi,5,16 ha
Perunalampi,1,1 ha
Långrevelsviken,1,2 ha
"Ylinen Neulalampi",1,5 ha
Nevanlampi,1,2 ha
"Iso Pohjoislampi",1,16 ha
Ruislampi,2,12 ha
"Iso Tiilijärvi",1,51 ha
Myössäjärvi,1,95 ha
Saivo,2,13 ha
Hulkonlampi,4,35 ha
Ylä-Vainolampi,1,6 ha
Ruoho-Luoma,1,7 ha
Piurukkajärvi,1,21 ha
Silkkalampi,1,4 ha
Tie-Hanhi,1,1 ha
Naamajärvi,3,290 ha
"Pieni Korppilampi",2,10 ha
Lappomviken,1,16 ha
"Iso Vuohi",1,1 ha
Nuottio,1,7 ha
Hiirenjärvi,1,184 ha
Keinojängänlampi,1,1 ha
Vuohlanlampi,1,3 ha
Ala-Viivajärvi,1,252 ha
Maansydämenlampi,1,2 ha
Sågsjö,1,27 ha
Ala-Keitele,1,49 841 ha
Poika-Riuskajärvi,1,13 ha
Alalompolo,2,58 ha
Läyniönlampi,1,5 ha
Iso-Kaakkuri,1,4 ha
Nironlahti,1,10 ha
Lietojanlampi,1,2 ha
Harakkalampi,2,13 ha
Pudasjärvi,3,1 291 ha
Oraslampi,1,3 ha
Majava-Ahvenjärvi,1,5 ha
Vuognoljavri,2,59 ha
Kuusajärvi,2,51 ha
Puronsuunlampi,1,2 ha
Kivestönjärvi,1,92 ha
Kuultava,1,5 ha
Hertunlampi,1,20 ha
Lihjamonlampi,1,8 ha
Silostenlampi,1,3 ha
Kilpalampi,3,4 ha
"Iso Haisulammi",1,1 ha
Pyylammi,1,1 ha
Ala-Kokalmus,1,2 ha
"Pikku Innalanlammi",1,2 ha
Ylä-Säynätjärvi,1,52 ha
"Vähä Allasjärvi",1,91 ha
Keitistankolantto,1,4 ha
Korkeanahonlampi,2,6 ha
Ylä-Jukuanlampi,1,8 ha
"Ylimmäinen Rassujärvi",1,9 ha
Huosioislampi,1,2 ha
"Keskimmäinen Peskajärvi",1,2 ha
Keisarlammi,1,1 ha
Paksupetäjäjärvi,2,36 ha
Suoluoma,1,4 ha
Pärsämönjörvi,1,25 ha
Kuristainen,1,4 ha
Eriksdalinjärvi,1,13 ha
Ala-Petro,1,2 ha
Jänkynjärvi,1,90 ha
Röppölampi,1,1 ha
"Pieni Kölkänlampi",1,3 ha
"Iso Tervalampi",6,43 ha
"Keskinen Kyynärö",1,36 ha
Haaskajärvi,1,9 ha
Mynäjärvi,1,26 ha
Perkkiönlampi,1,3 ha
Morruttajanjärvi,1,1 ha
Kittsträsket,1,2 ha
Kutinlampi,1,22 ha
Juurikkalampi,15,66 ha
Iso-Lehmilampi,1,7 ha
Ollikainen,1,13 ha
Rauhalammi,2,4 ha
